ext_gene,HC_29_1,HC_29_2,HC_29_3,HC_TrpA1_21_1,HC_TrpA1_21_2,HC_TrpA1_21_3,HC_TrpA1_29_1,HC_TrpA1_29_2,HC_TrpA1_29_3,MechSD12hr_1,MechSD12hr_2,MechSD12hr_3,MechSD3hr_1,MechSD3hr_2,MechSD3hr_3,MechSD6hr_1,MechSD6hr_2,MechSD6hr_3,R21H11_29_1,R21H11_29_2,R21H11_29_3,R21H11_TrpA1_21_1,R21H11_TrpA1_21_2,R21H11_TrpA1_21_3,R21H11_TrpA1_29_1,R21H11_TrpA1_29_2,R21H11_TrpA1_29_3,R60F09_29_1,R60F09_29_2,R60F09_29_3,R60F09_TrpA1_21_1,R60F09_TrpA1_21_2,R60F09_TrpA1_21_3,R60F09_TrpA1_29_1,R60F09_TrpA1_29_2,R60F09_TrpA1_29_3,R65H02_29_1,R65H02_29_2,R65H02_29_3,R65H02_TrpA1_21_1,R65H02_TrpA1_21_2,R65H02_TrpA1_21_3,R65H02_TrpA1_29_1,R65H02_TrpA1_29_2,R65H02_TrpA1_29_3,R85C10_29_1,R85C10_29_2,R85C10_29_3,R85C10_TrpA1_21_1,R85C10_TrpA1_21_2,R85C10_TrpA1_21_3,R85C10_TrpA1_29_1,R85C10_TrpA1_29_2,R85C10_TrpA1_29_3,ZT_0_1,ZT_0_2,ZT_0_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3
CG3209,103.155811,98.49773,104.959028,95.3315,94.58838,94.642033,95.8352,104.650181,100.3021,103.607283,90.2649,101.671565,103.09884,91.81986,94.61623,102.615946,90.06669,101.3335,96.691,103.9526,104.8642,110.957936,114.2303,104.366707,121.8487,86.6245,99.7641,99.9048,98.8151,93.94374,75.7934,105.59117,97.36968,99.8337,119.52587,95.53503,99.0488,82.55799,95.7828,105.745481,105.9035,109.67424,107.878114,105.13862,98.7653,93.381167,109.51385,102.742194,108.86205,94.70748,93.70572,110.48944,105.322409,97.1548,100.22366,101.9765,104.12463,100.5739,96.921869,102.97742,95.80588,98.78096,88.698755,102.2467,104.891408,103.463214,106.026549,105.242163,103.51353,97.007551,100.035937,104.53346
CG32091,5.40186,6.36722,5.71946,6.55909,4.66111,3.42514,3.65811,4.73554,5.37722,2.95585,2.04138,4.10231,4.29279,5.88009,8.43679,2.85461,2.77104,2.08018,3.86591,6.17607,10.8209,12.5735,3.07652,7.43816,7.89924,7.07698,8.12109,5.76857,5.11368,6.91263,4.47376,4.92316,7.61787,5.57607,8.69903,9.28911,5.13037,5.9008,2.2844,3.14768,10.8946,9.66506,8.13726,8.443,9.03094,10.8022,7.89095,8.22791,6.17099,11.9792,11.1447,3.55917,6.98948,7.67053,3.60192,5.90728,5.50911,6.63856,7.85233,10.2657,6.30788,9.29989,8.3908,2.42276,5.04942,6.23421,4.68294,9.98923,8.67451,5.89856,9.58682,7.98747
CG32095,17.6528,13.871,16.0102,15.1155,16.6466,11.885,23.2993,22.4718,21.0624,21.7404,18.0666,21.1687,27.3223,15.8892,18.8649,18.2427,20.3893,20.7646,17.66,18.368,20.1834,20.8436,20.4294,15.213,18.2655,21.2949,20.0186,19.819,20.2032,22.8686,10.4322,16.1048,17.6797,30.2735,18.9021,22.2521,23.5568,23.1399,23.9509,17.4301,13.9506,20.9982,20.8157,16.735,14.2085,19.486,15.0245,17.0849,14.8461,16.2171,18.7519,24.1061,20.2396,18.6482,25.0555,18.8741,19.2063,20.8579,18.1269,19.9731,20.6304,15.9192,22.7994,17.9686,20.832,16.1853,21.3405,17.0755,18.7726,23.6526,18.9991,21.1355
CG32099,20.4117,14.9227,22.4382,13.2944,18.1083,15.0379,13.2038,21.1643,19.7557,16.0865,11.721,13.7502,15.3774,11.3088,16.0424,15.859,12.8708,7.76526,19.2903,18.6713,15.9087,18.7448,12.3752,8.47654,16.0572,8.21857,9.96509,17.672,14.4716,18.6481,13.0892,19.3411,16.9814,17.7132,21.6316,16.5637,19.3858,13.8944,19.2821,17.0412,18.2031,13.4293,12.5205,15.8433,11.9203,19.8295,16.798,15.909,16.185,19.5165,17.3209,14.6708,20.226,14.3774,22.3415,13.3819,19.217,13.8787,13.1912,15.4462,19.9013,20.451,15.4942,12.6101,13.3205,14.14,23.5312,14.9229,15.6181,16.8973,18.8463,11.6855
CG32100,22.5948,29.4928,29.1103,17.1379,19.2219,12.2707,21.4325,23.0984,24.8061,19.071,18.0999,20.2571,19.1605,20.4199,23.4328,17.7981,19.0713,15.4782,29.4268,21.9714,24.0661,17.2349,16.8021,12.2369,17.9424,9.3395,15.0431,23.3895,19.1975,21.2456,9.95591,12.5735,18.0868,23.6179,21.3956,18.1228,27.747,24.3457,19.4334,18.1365,14.2984,16.79,15.0559,14.1622,10.4157,17.0378,20.1636,24.0524,23.2728,19.811,19.552,21.4365,19.6239,23.6273,26.5069,22.4039,25.7531,23.7199,22.7392,21.7856,24.4196,21.2289,20.5194,18.7015,17.4881,14.796,20.7039,20.2905,19.8293,25.8119,19.241,18.3676
CG32102,0.754185,0,2.35321,1.45591,0,0,1.71556,0.59552,0,0,0,0,0,0,0,1.40147,1.92307,0,0,0,0,0.514543,0,0.515843,1.34759,1.73311,0.689684,1.60413,0,0,0.597302,0.511707,1.01949,0.658322,0,1.13732,0.661271,0,5.53548,0,0,0,0.953671,0,0.5484,0,0,0.774049,0,0,0,0,0,0,0,0,0.542773,0,0,1.77596,0,0,0,0.630186,0,0,0.474563,0,1.72854,0,1.27596,0.593678
CG32103,137.94312,147.84888,160.0597,114.18809,127.56208,103.14346,177.98306,177.14992,196.4558,129.1368,104.73585,137.87652,115.09918,114.57535,119.69605,113.93675,95.01376,96.85878,165.60094,149.39028,176.68918,142.04372,129.09624,105.96016,131.74923,83.69995,149.84484,164.30301,160.33686,190.8191,77.230045,103.87165,128.01185,189.41566,174.98703,187.44918,174.98597,186.06891,200.9512,117.74773,156.84724,124.71578,171.28497,141.02191,142.94555,129.48702,120.47372,146.5702,114.21716,121.272,132.16949,125.2479,121.77299,139.82111,148.26742,148.0537,155.46631,131.60413,127.1306,134.24891,142.32774,130.36085,138.38009,123.04301,135.78991,119.13696,127.93806,133.29111,134.06202,130.4603,134.91188,146.05801
CG32104,8.68373,10.2356,8.56454,6.59234,6.57389,6.08172,6.13258,10.6119,7.04299,6.11002,6.02713,7.5683,7.20624,5.48893,5.94991,6.25591,5.46871,5.01251,8.60786,8.7561,7.86677,8.96672,10.1247,7.68682,7.90681,5.7004,7.11305,7.96474,7.46972,7.94971,4.9457,7.059,8.16384,10.6118,7.81071,6.13524,7.63716,7.70406,8.5366,7.77607,8.77166,7.06207,6.89984,6.31694,6.32721,7.15309,10.0103,8.97909,8.56835,9.08401,9.2399,9.74486,8.9272,10.5182,7.10575,8.19784,7.8205,7.25018,6.95879,7.9393,7.39561,7.92902,6.90234,5.73744,6.65026,6.46552,6.63763,7.97983,7.18596,8.22806,7.2917,6.79259
CG32105,19.6577,21.37972,21.28695,21.56754,23.02187,18.50689,24.81848,26.0283,25.7973,18.4096,20.42736,19.4815,17.57874,15.6448,19.2292,14.192548,16.63236,14.0256,24.3205,25.09769,24.0317,24.5271,20.13706,17.75401,21.69555,15.4045,18.4145,19.1839,20.5196,25.5801,14.8734,19.707577,20.036205,21.8503,22.1821,23.6158,24.35139,25.5106,22.99937,21.473853,23.392838,20.51146,19.65962,17.6296,19.79378,21.4692,19.75773,18.865,22.006657,19.6583,24.14166,19.76384,15.6959,15.386528,22.954249,22.132,22.20119,23.4498,19.92338,19.643856,23.3714,21.52854,21.305,15.90592,19.8564,15.611437,21.80339,21.42259,19.630898,21.822484,15.38839,23.203695
CG32106,0,0,0.061261545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089835449,0,0,0,0,0.061748882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067067758,0,0,0,0,0,0,0,0,0,0,0,0,0.047106499,0,0,0,0,0,0.040565971,0,0
CG32107,2.034320007,1.535300015,1.14561,0.755171004,1.068650005,0.753933,0.508602007,0.754993,0.826313002,0.896005,0.904038011,0.250432001,1.092880008,0.551315,0.855298014,0.807077,0.927302001,1.382700015,0.797647,1.573160001,0.664647,0.516217001,0.62778201,0.622577004,0.823188004,0.841449002,0.246091004,0.940346035,1.201230003,0.871684001,0.828431012,0.818987003,0.868306001,0.896282009,0.380942,0.614110001,0.241768001,0.738876002,1.111890004,0.640222002,0.648842,1.078690002,0.418334001,0.909670005,0.90072301,1.336300002,0.598169,0.983210001,1.417980009,0.687976003,0.70539,1.246170003,0.526781005,0.852692001,1.148150002,0.666657001,0.442579,0.462164004,0.766191,0.770770002,0.595695002,0.646711003,0.591385001,1.049320005,0.638689001,0.561872007,0.418578002,0.959827015,0.568184,0.523119001,0.573015,0.428519
CG32109,49.1127,46.2661,31.8502,34.9679,35.4127,40.4068,37.8854,34.4173,36.7506,40.8349,53.594,37.65,43.6965,35.3269,47.6369,52.9662,48.2463,57.1829,35.1905,32.1913,35.7348,39.0503,42.5974,44.1222,53.662,61.3663,42.7717,33.6909,38.8814,42.393,58.6496,44.562,37.3158,38.2587,36.113,35.7868,41.5519,38.3225,43.3888,40.0571,32.2815,37.4473,46.8482,52.3877,55.6253,28.6778,31.4867,37.1265,33.4068,26.7722,34.346,45.5068,45.966,41.107,50.2706,43.3202,40.8906,40.5916,39.0606,38.3062,38.0012,36.0404,38.6136,40.6772,37.7028,46.4255,39.3655,40.9581,43.3878,46.5372,37.0545,29.4462
CG32110,0.677993,1.42395,1.35594,0.139865,0.7169,0.47973,0.646459,0.340718,0.985067,0.384798,0.444394,0.805912,1.21479,0.590149,0.22412,0.372525,0.349624,0.587707,0.229244,0.225502,0.524049,0.591871,0.166019,0.426602,0.129643,0.165773,0.584927,0.456958,0.396592,1.08605,0.519262,0.288788,0.868305,1.13327,0.606372,0.97297,0.569999,1.29316,0.636194,0.154863,1.02768,0.324772,0.132967,0.958308,0.471809,0.530767,0,0.665341,0.230812,0.497342,1.7963,0.280479,1.30269,0.988248,0.645679,0.45795,0.859518,0.983362,0.459328,0.163733,0.348694,0.74135,0.623191,0.175136,0.341861,0.494212,0.247053,0.617437,0.459336,1.9915,0.673394,0.846587
CG32112,104.4346,96.6525,114.89325,91.68549,103.58746,94.669,112.4045,104.6212,101.40322,91.29077,77.3709,82.40797,85.20573,77.3663,78.74409,78.11372,76.087,78.76488,114.9137,116.11369,109.0168,102.39228,102.06559,85.53983,90.041,74.08238,94.44987,96.67165,98.48004,96.5336,75.68484,80.17052,102.8088,107.92969,105.1017,101.8646,101.74176,99.90959,91.98286,98.56254,105.7374,98.39391,89.80673,87.16503,83.12539,95.14167,118.42511,97.0206,111.9674,101.8764,110.7728,97.3997,106.91062,102.54548,104.19944,99.75808,91.76817,91.5599,90.221,80.47988,96.8594,93.2615,96.07106,89.40849,84.38337,80.38842,94.90757,91.62014,88.9209,114.49271,101.44437,94.21616
