ext_gene,HC_29_1,HC_29_2,HC_29_3,HC_TrpA1_21_1,HC_TrpA1_21_2,HC_TrpA1_21_3,HC_TrpA1_29_1,HC_TrpA1_29_2,HC_TrpA1_29_3,MechSD12hr_1,MechSD12hr_2,MechSD12hr_3,MechSD3hr_1,MechSD3hr_2,MechSD3hr_3,MechSD6hr_1,MechSD6hr_2,MechSD6hr_3,R21H11_29_1,R21H11_29_2,R21H11_29_3,R21H11_TrpA1_21_1,R21H11_TrpA1_21_2,R21H11_TrpA1_21_3,R21H11_TrpA1_29_1,R21H11_TrpA1_29_2,R21H11_TrpA1_29_3,R60F09_29_1,R60F09_29_2,R60F09_29_3,R60F09_TrpA1_21_1,R60F09_TrpA1_21_2,R60F09_TrpA1_21_3,R60F09_TrpA1_29_1,R60F09_TrpA1_29_2,R60F09_TrpA1_29_3,R65H02_29_1,R65H02_29_2,R65H02_29_3,R65H02_TrpA1_21_1,R65H02_TrpA1_21_2,R65H02_TrpA1_21_3,R65H02_TrpA1_29_1,R65H02_TrpA1_29_2,R65H02_TrpA1_29_3,R85C10_29_1,R85C10_29_2,R85C10_29_3,R85C10_TrpA1_21_1,R85C10_TrpA1_21_2,R85C10_TrpA1_21_3,R85C10_TrpA1_29_1,R85C10_TrpA1_29_2,R85C10_TrpA1_29_3,ZT_0_1,ZT_0_2,ZT_0_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3
1-Dec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989521,0,0,0.1110847,0,0,0,0,0.0352896,0.04123715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584384,0,0.0451119,0.0468569,0,0,0,0.0757388,0,0.10217,0,0.05975863,0,0.13182527,0,0.10272304,0.0478587,0.166098,0,0,0,0,0,0,0,0.0405307,0,0,0,0,0,0
1-Sep,37.3591,36.8781,41.8657,33.6546,36.0644,27.2953,35.8082,38.9492,40.6139,34.5623,29.5834,35.5705,33.026,30.2465,34.8262,32.2285,30.2697,34.3825,39.3701,37.7027,42.9726,38.088,29.9822,31.8366,36.1371,28.4088,30.572,35.0978,36.15,40.3531,22.2528,29.4882,32.806,34.0187,39.1844,44.0347,41.5375,44.6429,40.819,31.246,36.2016,33.9498,32.9418,34.6945,30.5653,37.3054,35.9102,40.2195,36.2668,40.9815,42.4836,40.1632,38.8186,46.7555,39.2276,41.0423,39.5448,38.2114,38.1974,37.5707,39.8795,36.5842,36.2962,33.3263,31.0708,33.6866,38.1604,37.995,38.4868,35.6233,35.9796,41.2067
128up,50.5303,49.4902,52.0422,43.8319,38.6224,55.0942,65.5225,55.4055,51.4872,44.5927,48.1446,46.4777,43.1394,40.8141,43.7127,42.1877,45.1601,47.3766,55.2388,48.57,60.6264,45.5791,51.6926,45.5231,70.0511,62.1967,57.3892,49.706,53.0503,53.2259,40.7611,49.1198,38.5794,56.3843,66.4787,62.7681,57.527,57.0665,48.1489,50.1696,42.3714,39.2962,64.1224,60.8534,53.6485,55.7712,44.3347,65.9729,38.7471,40.9426,25.8041,51.7154,59.4961,54.5012,52.9591,43.0323,46.0765,39.3605,42.0074,40.3659,36.6778,39.3229,42.9772,46.7128,45.0832,50.5302,45.6902,41.551,46.7932,43.5378,43.3653,40.9837
14-3-3epsilon,1004.17,1266.342,1255.742,778.2426,898.3766,573.4706,1145.983,1198.807,1247.785,849.1831,648.9674,853.2085,790.8307,789.1402,735.4333,611.5976,607.5233,539.7668,1197.36,1207.9541,1207.416,773.1545,739.5269,659.4283,785.2118,392.3114,763.6129,1225.104,1119.779,1257.036,460.6762,590.9414,814.0339,1195.408,1151.914,1203.693,1248.73,1253.688,1169.89,726.4911,893.1103,700.2837,897.359,724.9689,711.4849,1090.795,1233.763,1187.071,1106.8498,1141.8134,1156.283,980.39,1131.181,1107.66,1064.881,1024.884,1089.335,1077.805,1029.42,957.415,1070.2087,937.5178,1080.988,683.1463,773.066,686.2348,994.287,1083.4612,1058.319,1103.516,1018.484,950.747
14-3-3zeta,1832.98918,1761.02382,1841.894247,1366.4319,1512.471,968.579262,1577.54089,1670.73284,1815.24647,1363.458464,1223.85633,1438.230821,1274.397145,1308.08901,1221.90581,1160.993833,1092.53443,1119.03454,1871.470653,2028.79726,1837.564226,1363.16007,1337.67948,1018.17054,1133.5292,717.55569,1126.171033,1817.621761,1740.012546,1783.79015,845.60576,888.1668002,1371.139153,1644.27262,1641.169678,1687.81165,1824.97981,1831.57477,1805.71594,1198.98885,1353.07265,1244.455985,1158.03505,1112.902068,1071.47015,1757.88576,1960.45933,1893.74361,1882.137791,1862.168344,1877.78575,1651.55086,1904.49584,1833.67462,1822.58503,1724.773852,1815.58688,1755.10926,1737.40164,1553.064411,1749.23158,1582.4908,1692.216085,1241.31037,1335.88468,1155.50639,1661.09438,1760.00106,1731.4858,1815.82862,1700.369606,1612.50532
140up,33.3899,38.4708,32.34807,35.7062,27.8351,29.71192,36.3711,41.9827,34.4908,29.57471,24.9194,33.90789,26.4049,21.9631,29.472,28.408,29.30306,23.95197,39.4715,38.1241,33.7441,35.13743,17.65102,25.6013,39.69415,28.998,31.7576,33.89241,45.8163,42.094,20.22556,29.3253,27.74512,34.3317,36.3446,39.9639,34.8272,38.1975,33.2017,23.31713,34.4825,30.27167,27.5561,32.7573,31.8366,36.4709,32.3716,46.39558,28.98397,28.7262,33.21979,31.9339,38.3975,35.125,32.9078,27.1515,27.06345,30.3697,24.9297,28.1784,34.7315,26.5385,38.18694,28.3527,29.84846,30.3801,31.986,26.2807,33.9584,36.69365,33.54424,26.9999
18w,16.5851,20.4446,18.3376,12.1548,13.0071,7.47794,13.3609,17.1686,17.4609,11.7164,13.635,14.8788,14.927,13.1681,12.1855,9.52284,9.40622,10.044,20.4274,16.8159,20.5922,12.6716,12.6311,9.06371,10.593,5.00272,11.8248,17.109,16.4051,19.6462,6.25004,8.15302,13.069,16.6702,16.5041,17.1737,20.7181,18.144,17.9764,12.2155,16.4267,10.3271,11.7273,10.8854,11.5499,14.6288,15.8911,19.0206,15.9693,14.6517,18.6526,11.6106,14.9749,16.6115,15.7529,15.2368,18.7511,14.9587,16.3997,14.8191,16.054,16.1058,14.8612,10.7635,13.6548,9.94934,15.2928,16.1519,16.3866,18.586,15.5243,15.0686
2-Sep,112.1478,102.111,98.85041,106.605,113.231,101.195,103.8983,112.725,113.02167,88.2163,90.5568,98.892882,98.1267,94.70161,100.705,85.0326,87.396464,85.24413,117.25823,94.37512,103.408,111.139,107.42,107.18005,125.151532,88.6276,104.83123,95.0588,103.113,113.08957,84.021958,113.069,113.903405,115.903,128.55642,117.581357,101.208,103.14463,95.32544,115.370281,109.501,122.37635,106.484233,101.455616,104.607181,126.331,118.72,121.937,128.791,121.029,119.255,139.093,126.666922,122.021,106.735,103.599,103.043643,99.844665,101.667228,102.088,99.5871,97.433,107.995787,92.9958,91.4802,96.337652,114.253706,111.483,110.455,99.055073,99.13146,113.934
26-29-p,123.302,128.101,132.522,108.369,100.79,101.834,128.998,131.545,130.476,78.7477,74.6449,93.7011,89.569,88.6754,90.2574,85.188,88.6484,73.2119,119.944,130.584,148.255,118.422,103.205,106.061,143.287,101.965,135.055,144.207,142.566,157.227,78.3997,122.68,113.46,140.258,130.478,159.278,118.886,140.006,134.266,110.021,141.021,102.659,138.445,127.564,117.738,157.617,155.781,154.717,113.158,130.407,130.153,126.536,133.41,165.558,98.1257,101.628,109.961,99.8336,110.146,109.49,95.3032,98.2781,120.931,85.3704,95.7189,95.9962,108.068,119.648,120.399,102.36,100.748,112.017
2mit,110.7436,127.7138,119.5646,70.2254,83.947,50.3788,105.127,110.7026,111.6066,70.1596,66.3986,78.3948,67.787,66.7398,60.93,52.3252,49.8802,53.4022,125.4468,134.0302,117.8792,73.1362,66.4172,48.7612,55.7254,32.6724,55.2842,110.6862,98.8882,104.3596,31.5398,34.4348,63.131,100.7646,94.0742,94.5788,117.7454,110.059,114.2512,63.229,75.5504,58.1284,57.3386,49.2398,48.4716,96.236,121.2446,108.3346,104.9728,99.741,108.8782,78.7404,98.2454,91.2064,92.296,88.689,94.2188,94.9468,88.3414,77.2352,88.8936,75.5402,87.9606,63.7362,70.26,50.8778,85.444,89.3472,86.6322,101.9142,86.7252,79.0748
312,62.8309,36.1792,56.6339,53.4388,50.0173,51.0915,56.0567,55.1175,54.5032,43.6812,47.6615,51.146,49.3949,51.867,49.2574,49.1762,50.0968,45.3669,55.4408,45.8316,50.9154,49.9892,45.7994,53.0109,51.2619,54.554,54.5417,49.3354,46.0475,55.1496,46.4592,48.5464,54.7743,59.3387,55.6161,58.2068,52.6226,64.6646,56.0216,47.5842,54.5067,46.6669,45.4347,44.1301,41.8549,50.9198,51.4709,50.1291,53.9013,55.3118,63.5951,60.1607,52.5796,52.4071,53.892,39.2267,50.1114,56.569,55.7096,50.5847,49.5519,63.1558,51.1216,43.3141,52.5372,47.6558,51.2915,46.4199,41.0783,52.6611,43.4594,56.2718
4-Sep,178.69081,175.97609,188.70029,195.28954,224.4572,171.2934,180.86059,194.7076,196.11495,186.9133,166.7123,193.6739802,183.1194,158.7032051,161.17722,158.2214,159.57875,160.17211,192.50538,202.34055,186.7328,191.75676,196.57819,154.2221831,138.9446,90.98103,142.1793,184.3727,171.7727502,175.08913,139.30479,155.1376,196.5211948,190.99963,196.7565,180.68891,167.02274,171.693101,157.3505,179.1767117,210.82636,172.43216,135.17736,132.96448,129.25487,171.5269,204.10533,177.17904,213.33231,218.1414,224.474,161.91675,184.09446,171.07985,216.3701928,211.34859,207.49171,213.043,212.459271,188.2293,205.95139,189.76911,196.62634,180.73595,177.5575,147.1582,197.161,203.03209,201.05538,224.37416,195.1654,205.21836
4E-T,79.72584,92.60545,97.37505,59.64003,68.69188,43.73666406,72.22033,82.40159,82.20088,65.98021,56.17428,71.0863,69.8537,59.08436,51.51503,51.57828,50.73876,51.0442,97.93117,96.25136,97.7769,62.221393,66.3058,48.30016,58.75248,25.18066,48.98298178,93.65726,87.26475,86.60659,35.06344,40.96356326,63.46258,79.02239,79.04927,70.72913,95.934978,96.3577,98.79394,61.48254,70.60921,53.82093,57.415229,47.79426188,48.55296,83.29287,120.15363,101.21868,90.70091,82.24058,89.4338,69.678448,98.801359,83.2552,83.8689,83.7335,78.63701,80.68775,73.52778,69.65159,72.15114,68.7714,82.02518,54.47573,65.622402,55.85072,69.952256,82.273576,72.21755,84.277077,79.03982,71.0594415
4EHP,224.18243,259.5192,261.358139,233.7439,240.33915,169.76456,247.993049,228.04665,244.34916,272.634082,256.755192,294.75559,275.88288,241.72291,229.66067,239.275331,209.113748,222.83665,360.04442,363.385472,322.048021,254.895748,241.779677,205.08742,192.85487,136.834246,264.155649,337.88617,316.28443,317.69051,162.3606,164.101375,249.42522,303.82917,296.268568,279.467431,337.941343,347.50932,368.664675,237.79521,291.8529,238.138391,221.370546,188.02454,192.985748,341.20277,422.38518,320.006237,382.77735,388.375344,375.9482,269.22313,362.66869,345.44477,338.854604,319.31031,325.2672,328.423995,306.257257,294.14503,330.52762,290.522744,321.48505,234.625513,254.256753,214.224053,294.01001,308.28364,307.85897,358.466031,333.93052,272.68755
5-HT1A,75.8716,89.3273,89.169,52.5598,57.6932,38.227,73.8568,76.8634,75.872,49.1834,42.1784,53.8463,49.7538,47.7982,44.6197,39.6848,38.0901,31.8354,81.8128,83.6278,77.3945,47.6555,45.6382,36.4843,40.5437,24.098,43.6655,76.4947,69.2462,72.1358,24.9059,28.9832,47.7323,75.2409,63.4049,71.0589,87.4361,86.6767,87.7147,51.45,52.673,43.0448,44.8645,39.4374,40.1046,68.9122,74.8581,83.8592,69.7771,65.6097,73.8405,53.6671,60.0804,60.8318,70.8484,62.973,68.1274,72.1054,61.9095,53.7915,64.5487,56.3553,59.9344,49.026,48.7205,37.744,59.9834,66.4644,60.4915,67.2268,59.6065,58.6374
5-HT1B,50.322614,47.27744,48.4587,35.00233,37.345514,24.931253,44.60181,49.04964,49.8629873,32.58503,25.53646,36.2841,27.682473,29.961579,32.61555,23.97278,24.14907,20.79363,50.65130542,48.79989,49.66118,34.685288,34.4919,25.9971,36.4258,19.217074,31.40008,46.2836,41.16738,45.593183,15.1071,21.479791,33.35532,44.48826,44.28568,43.881163,49.633302,43.94844344,41.381344,33.89626,38.460289,30.89656,26.70956,24.306137,27.12263,34.76011,49.8387,40.9972532,48.14191,44.50932,51.02587,34.1156,43.2735,37.7259,40.84848,40.54879,38.74814,41.79305001,39.5527,35.86081,42.02502925,36.83353233,40.30872,32.75034,31.29117,24.59011,40.8775216,41.04084,37.748429,41.873605,38.45174,38.592686
5-HT2A,25.57405,27.35236,28.326439,22.01563,24.77181,15.262096,26.77918,29.36961,27.5031,21.834095,19.096705,22.57362,22.18291,24.700736,21.322573,21.09803,20.54033669,16.55398,34.5069,36.04408,33.76028,24.17917,24.41136,21.40896415,22.89437,10.400564,18.62887,33.42604,26.011035,32.01676,11.58508,17.788861,24.52391,34.40756,30.79884,30.39709,31.11549,30.96482,31.65952,25.43795,27.36216,23.56501,17.00123,18.578317,15.90435181,23.5502,31.49813,28.5712,37.36547,33.189637,30.98714,26.62187,29.7658,24.73763,30.97005,28.65067,26.45217,31.29096,29.7154,24.184183,28.45769,24.63297,27.9752,19.828061,22.802829,20.104777,26.18267,25.335996,28.03218,29.58997,24.22337,26.458209
5-HT2B,24.3701,26.2670538,25.94,11.6755,14.5419,9.07679,19.4519,24.9641,23.83447594,17.8902,13.8012,20.5134,15.5728,15.9607,16.0924,11.5073,11.9844,12.7583,24.90429837,25.0761,24.922,15.9678,17.0039,11.419,11.6359,6.6555,12.6058,24.1071,22.9839,25.661,6.44435,7.89414,15.06650007,23.861,18.3129,20.326,24.9532,25.5754,27.5173,16.7798,18.4555,12.0896,12.3029,11.061,10.9062,18.845,19.3213,21.6537,21.394,18.839,21.553,15.0652,17.9813,19.7254,21.9324,23.5855,22.52350005,22.7802,22.952,19.2615,22.6999,18.6277,20.5798,15.0538,14.6666,12.6428,20.8474,20.6387,20.0909,23.2494,19.3297,20.582
5-HT7,34.99692,34.78674,36.36112,24.47685,30.47393,19.01809,30.60588,32.3371,34.66943,24.77761,19.55784,26.73202,23.12828,22.61269,21.6987,18.75266,19.13065,17.32051,39.60791,37.72015,36.95776,25.44,25.38848,19.48961,21.21772,10.294025,19.86,32.32372,31.81488,32.6995,11.572599,15.674653,25.02428,33.34934,32.88625,30.14467,34.61803,37.88329,32.82593,24.49405,27.568,22.748973,22.068214,17.68311,20.155457,30.00357,34.28636,35.23733,33.91004,32.43342,38.6775,23.23299,30.42437,27.00213,34.23604,32.59523,33.33286,31.19743,30.04609,28.84428,28.63504,24.7517,27.28283,23.42788,24.8466,17.70222,29.31744,33.42993,30.58618,33.17957,31.11297,26.02779
5-Sep,1.592970014,2.886630053,1.23339,1.07317,2.0568,1.59816,1.60694,1.592970002,2.300110009,2.3857,2.070940042,3.5318,2.38942,1.37199,1.92415006,4.820370362,2.578640007,1.595880028,1.787000002,1.23022,2.61092,1.70345,2.587290079,0.979173,1.59256,2.45766,1.518680046,2.10032,2.4758,0.42434,1.487020043,2.32317,1.578660003,1.47254003,1.768150004,1.516360007,2.0741,0.807100004,1.95249,2.25974,0.40042,0.759861003,1.861590011,0.735249,2.2922,4.33658,2.25555,4.78223,1.055698,2.689270015,1.1871,2.36843,2.79068,2.280186,2.0867,1.657590003,2.438550002,3.30959,2.376960006,2.25158,3.650310017,2.311740024,3.0234,2.043380017,3.54444,1.695761,2.386260017,1.116110025,2.573964,1.660260003,1.53533,2.374910004
5PtaseI,91.97411,88.4579,86.10675,77.03083,90.21567,75.93915,90.9152,83.7793,89.5889,82.38883,71.45882,85.37304,76.56017,71.28424,75.50617,61.46927,76.27368,70.32405,87.7464,97.192,94.2255,87.93401,84.14465,69.44104,79.90558,57.34737,71.69883,80.0243,87.12957,93.4181,54.04646,67.83898,77.07651,84.24722,88.22791,82.10824,88.3369,89.0377,93.3447,79.0558,86.886,85.28505,67.22365,65.07021,61.22829,77.17459,91.2133,95.9478,79.78777,85.6172,75.65586,85.6541,87.10209,85.24029,86.97799,91.2755,87.04327,88.79737,78.36775,78.24182,84.84491,89.07797,82.30002,76.66181,76.85341,70.13891,82.07739,81.18166,83.93948,86.2196,91.22225,81.18788
7B2,1473.527,1395.0044,1402.04,2125.4258,2259.6165,2937.9256,1807.9076,1687.9191,1660.4464,2044.454,1973.1387,2018.5382,2116.6589,1779.2871,1967.2874,1808.2809,2050.7811,2005.8287,1703.8063,1559.2318,1485.1214,2552.658,2822.0008,2708.3706,2060.6392,2582.3944,2140.6396,1554.113,1568.3238,1587.5261,2424.0594,2919.1885,2066.6556,1894.5887,1670.3972,1679.075,1466.6955,1510.2094,1559.1922,2497.9701,2222.4073,2654.9114,1822.5152,1923.2943,1989.0516,1793.0161,1535.5965,1562.2388,2262.3316,2082.8589,2184.0177,1957.5238,1707.0017,1623.3186,1839.5588,1733.697,1744.4931,1829.8593,1773.63,1819.0827,1840.9817,1749.6966,1610.4524,2124.6824,1941.698,2048.5919,2206.11,1849.2464,1865.8102,1782.7709,1750.2678,1878.8203
825-Oak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,21.97005,23.086746,22.79135,16.752766,16.72487,9.995888,21.981176,25.105017,28.37325,13.189516,14.331881,16.812353,15.036713,13.120407,14.985902,10.371616,10.565411,9.10815,25.6321,23.369955,23.23775,23.20061,20.88719,16.838535,15.940482,8.52618,14.521054,19.30853,18.917114,20.908652,5.99424,8.896292,14.103443,25.32681,22.2706,21.14075,20.542538,19.65199,19.642534,15.405706,16.482331,14.977715,16.66351,13.531718,14.037442,19.35907,19.734625,19.982982,21.62097,21.77957,24.18831,20.26439,18.175119,20.700124,19.96814,19.233724,20.159663,18.59993,18.981708,16.148685,20.900246,17.805027,18.208713,13.406274,15.860187,12.760717,16.760145,16.76172,19.01739,18.35172,19.63808,17.615546
a10,0,0,0.736937,0,0,0,0.537103,0.558971,0.542687,0,0.750098,0.69378,0,0,0,0,0,3.03304,0,0,0,23.1591,0.549351,0,0,1.08185,0,0,0,0.868,0.559733,0.957699,0.477458,0.617577,0,0,0,0,0,0,0,0,0,54.4383,0,7.0862,0,0,0,0,3.70035,0,0,0,1.70004,0,0.505907,0,0,1.10893,0.602184,0.607777,0,0,1.17988,0.466004,0,0.712261,0,0,0.594941,0.556696
A16,45.3563,45.3877,50.3779,35.1283,43.0299,48.0704,53.8015,54.1307,48.1942,40.9587,30.0377,42.6878,36.0635,39.1489,41.8207,29.5055,36.3304,31.7217,57.8096,45.2657,42.5532,37.4614,45.0482,33.9985,45.1135,34.1106,45.2359,44.4813,48.003,52.3047,29.1548,38.3069,43.3557,60.0137,46.4897,47.7637,48.2958,53.7398,46.5239,40.2995,47.8577,36.3626,41.4479,38.9408,36.6445,45.2431,42.5609,45.8604,38.8956,34.8785,40.6566,49.5082,39.6602,43.2768,49.1878,36.5,41.7725,48.1149,42.9418,46.0847,43.975,43.5591,42.7469,37.6316,39.6639,27.9318,44.124,39.2465,43.8749,42.9698,43.4863,46.4556
A2bp1,273.44521,347.0544,340.5561,234.60111,254.7785152,171.0893603,286.2577,301.7171,315.5354,270.84582,245.21381,297.74559,250.67693,230.50081,235.43715,226.28038,209.3367989,208.96718,318.5622,323.0611083,317.58636,222.11405,212.39018,178.23404,185.843875,116.48015,233.876953,317.6785,273.35904,311.0221,121.252803,129.263332,202.728365,281.6382,254.4495,268.9352,335.16,322.6796,324.3697,212.0772457,247.84145,196.1879,207.0629692,176.330518,167.6919657,277.65204,324.04897,299.9828108,278.19364,283.95149,301.66885,215.8052006,259.18164,259.92873,305.6777919,294.2918211,302.94445,340.2011,314.0364,302.69695,323.24255,283.18211,314.0801,237.509113,248.82867,201.36395,285.64262,306.10346,286.43707,322.27799,290.5515337,295.0093
a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41327,0,4.43496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6,35.0788,35.0737,37.59556,23.13312,29.3856,24.35923,35.20199,39.26984,32.10411,35.66079,24.5566,32.06106,26.466256,27.06007,22.1643,26.5844,26.952941,22.9029,36.47619,34.7227,36.52338,26.17545,29.9122,23.415888,25.875,18.5253,24.97078,35.8124,28.63502,32.75847,17.40801,25.145801,27.80952,40.8137,35.17696,34.821643,35.2148,38.84169,35.1516,27.62318,32.8203,19.9025,23.097,20.891543,21.4502,27.00448,31.329,38.70828,30.17258,29.0844,31.05506,36.99705,35.38625,36.9146,35.327968,31.184446,35.36854,34.72889,32.19046,30.07991,35.934376,29.80534,34.6503,24.9245,32.73176,24.457049,30.46339,29.701,27.78429,29.984984,29.5569,35.52249
Aac11,513.713,583.853,578.832,423.663,522.662,305.766,574.858,590.423,614.294,473.775,395.597,457.726,419.465,386.843,380.045,359.177,364.194,352.363,601.385,608.197,578.852,439.855,434.552,383.444,376.247,188.042,414.045,537.774,504.943,537.338,246.466,318.617,433.287,607.844,531.946,513.507,578.112,564.703,569.335,427.851,472.918,351.511,420.179,344.894,330.327,444.455,572.231,486.568,526.703,509.156,523.91,477.961,572.039,497.149,550.846,522.245,503.874,512.153,480.76,441.76,528.053,462.203,502.633,409.11,413.321,356.349,473.839,463.135,477.234,544.227,482.126,464.488
AANATL2,11.6618,11.84532,10.21937,22.20857,19.2731,24.44534,16.5059,13.893,14.64124,14.94021,9.37002,16.3742,12.6625,10.0994,13.3254,14.8657,16.70181,14.0716,13.2716,19.19786,19.45206,22.4118,21.96869,29.91437,17.7409,23.6178,19.81504,17.4109,14.2963,18.5084,25.51182,26.4539,31.7467,14.0088,16.61,22.92536,16.4876,11.2003,10.9082,15.04481,18.62384,27.5817,13.1022,18.2879,21.30123,20.78732,12.87314,15.2522,20.32354,18.6229,17.89876,23.7447,25.15369,18.0577,19.5443,13.5096,19.1905,10.5226,12.9503,15.29472,14.8026,15.4284,20.3572,20.4502,21.43581,24.49361,19.17101,16.769,19.37276,16.7832,14.13744,14.4188
Aatf,34.7143,34.6629,30.679,23.2572,24.9767,21.1744,36.6047,32.4123,36.1873,23.7242,23.1412,25.6323,23.3696,24.9416,24.5055,21.3585,21.5939,22.1294,34.3335,31.4796,31.0619,24.6105,16.4403,16.0381,23.2915,19.8039,25.9869,32.5914,30.1941,25.6897,16.2328,22.7384,23.583,30.7968,37.1564,35.1526,35.1352,33.5171,33.523,25.6523,21.7708,22.3042,26.5974,23.7246,24.4268,32.443,27.8378,31.8314,26.2175,24.4124,26.1344,34.6115,29.4203,31.6596,27.9892,28.0798,29.1719,28.915,29.2566,29.6611,29.2225,25.3016,29.6307,24.1282,22.1548,20.6308,28.7505,23.614,29.9946,28.3626,23.7048,26.8017
aay,119.69,145.188,122.398,114.468,101.864,81.1683,140.899,156.341,122.461,187.241,160.851,189.896,169.529,162.808,189.805,214.628,190.32,176.347,110.781,124.099,150.682,92.6019,78.3046,121.548,152.096,101.397,105.718,129.133,104.292,113.604,87.4015,95.005,104.685,98.9567,157.956,140.369,115.836,115.893,117.795,105.576,113.165,191.853,173.534,176.043,129.947,78.233,74.5149,72.8857,61.6781,84.6104,77.3079,64.4674,76.0018,82.2409,180.23,178.482,197.031,159.829,139.685,200.135,176.024,192.559,182.711,160.572,180.725,165.798,165.323,179.96,153.735,141.717,174.882,183.054
ab,44.363564,63.60755,54.58641,51.60641,58.06762,31.27274,45.16508,55.886469,52.45616,53.32849,45.78347,56.29971,52.194373,44.196938,47.09053,36.22292,37.09498,34.39029,58.79928,64.279225,58.70343,50.76396,47.78224,39.476009,34.1189,15.96653,42.14426,58.24816,51.445,59.00033,28.01012,29.4467,49.95166,59.39876,47.46862,48.85465,57.83767,53.41875,50.8628,49.92289,58.91063,43.817416,32.84306,26.334,24.49659,49.278221,68.81039,58.936291,63.85401,65.92643,78.3615,43.148529,52.186041,52.92912,63.53711,69.84794,67.2172,68.162442,66.93949,60.202904,65.661279,61.69423,59.30861,41.734155,51.78481,37.23782,61.05204,66.24598,62.17287,64.90763,64.33244,62.67125
ABCB7,161.7131,158.096,143.1637,80.451,85.7668,79.7153,158.7245,159.012,164.132,89.1999,77.5817,92.7493,91.7779,84.2143,84.4991,68.1297,71.4511,62.481,158.1537,126.8453,140.4547,94.1652,89.9906,76.7848,142.9371,102.9968,128.0805,126.5478,134.5216,166.9693,48.7736,71.4223,75.7622,165.4535,143.6565,151.1864,168.3447,157.6452,153.4228,90.5634,86.7619,81.1332,140.6395,130.9132,134.9046,109.711,112.5158,122.3355,87.1117,83.4837,86.6657,134.0258,130.3292,132.9843,112.9807,94.7395,103.5882,97.9229,92.362,89.0698,101.4502,91.1383,89.8196,80.4426,87.0668,76.5075,100.6264,91.5044,91.9581,93.5308,91.5282,101.5744
abd-A,0,0,0.0519032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538322,0,0.0626748,0,0,0,0.0761039,0.0969444,0,0.267247,0.0892543,0,0,0,0.0799866,0.165355,0.165824,0,0,0,0,0,0,0,0.0392674,0.0507153,0.0823626,0.0427912,0.144673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942473,0,0,0,0,0,0,0,0,0,0,0,0,0
Abd-B,1.45803,0.944597,1.6239,1.3464291,1.03298,0.96703,1.59538,1.83277,1.17307,0,0,0,0,0.117699,0,0.0503225,0.057466999,0,0.0333655,0.0913294,0.144658,0,0.0940492,0.0778217,0.0792959,0.4818259,0.315379,0,0,0,0.1215967,0.0209671,0.0798282,0.0275049,0.15021063,0,0,0,0.158948,0,0.18903,0.2162395,0.182302,0.045659222,0.3697366,0,0,0,0.091193,0,0.10098,0,0.0849624,0,0.0434815,0,0.0696303,0,0.0613447,0,0,0.102401,0.0572324,0.141116,0.2050039,0.0965565,0.146688,0.0820291,0,0,0,0
Abi,51.88851046,66.56524,67.43986,49.95218,58.78133,33.34990099,73.34013,79.064487,83.31582,51.519232,46.01094,55.91025,60.03136,44.34777,47.49334,42.41504354,41.229393,40.07869404,72.83578,67.788456,72.104146,47.165941,44.188284,39.67967,44.629511,25.00108,44.852793,66.86416228,67.18748,74.87647,27.378062,33.01172,47.0099,77.76142,67.976793,71.69149,77.845945,75.78462738,64.96,40.688564,54.54575,39.23062805,52.893176,42.297764,48.3025,65.7444,66.0013,77.18301,62.8714452,53.9104,60.060887,60.0233273,54.67546,59.54015,70.750286,60.29429,67.661203,66.62032,66.782266,59.92541,66.54616,58.21384,69.136769,50.33612,57.78413,45.30973,56.74171,64.43886,67.702568,61.56415,63.22913,59.09128
